2025-03-06 10:09:01.811 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277341811; nextExpiration=1741277341810; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:02.820 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277342820; nextExpiration=1741277342811; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:03.822 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277343822; nextExpiration=1741277343820; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:04.824 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277344824; nextExpiration=1741277344822; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:05.825 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277345825; nextExpiration=1741277345824; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:06.826 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277346826; nextExpiration=1741277346825; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:07.828 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277347828; nextExpiration=1741277347826; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:08.830 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277348830; nextExpiration=1741277348828; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:09.831 DEBUG 46031 --- [http-nio-8080-Poller] org.apache.tomcat.util.net.NioEndpoint   : timeout completed: keys processed=0; now=1741277349831; nextExpiration=1741277349830; keyCount=0; hasEvents=false; eval=false
2025-03-06 10:09:10.560 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "HTTP/1.1 200 OK[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Server: nginx/1.18.0[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Date: Thu, 06 Mar 2025 16:09:10 GMT[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Content-Type: application/json[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Content-Length: 23[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Connection: keep-alive[\r][\n]"
2025-03-06 10:09:10.561 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Strict-Transport-Security: max-age=31536000; includeSubDomains; preload[\r][\n]"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Allow-Origin: *[\r][\n]"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Allow-Methods: GET, POST, OPTIONS[\r][\n]"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "Access-Control-Expose-Headers: Content-Length,Content-Type,Date,Server,Connection[\r][\n]"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "[\r][\n]"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.wire                     : http-outgoing-5 << "{"ok":true,"result":[]}"
2025-03-06 10:09:10.562 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << HTTP/1.1 200 OK
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Server: nginx/1.18.0
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Date: Thu, 06 Mar 2025 16:09:10 GMT
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Content-Type: application/json
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Content-Length: 23
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Connection: keep-alive
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Strict-Transport-Security: max-age=31536000; includeSubDomains; preload
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Access-Control-Allow-Origin: *
2025-03-06 10:09:10.563 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Access-Control-Allow-Methods: GET, POST, OPTIONS
2025-03-06 10:09:10.564 DEBUG 46031 --- [KoalAPEX_first_bot Telegram Connection] org.apache.http.headers                  : http-outgoing-5 << Access-Control-Expose-Headers: Content-Length,Content-Type,Date,Server,Connection
